year,genre,duration,key,key_confidence,loudness,mode,mode_confidence,segments_loudness_max_mean,segments_loudness_max_std,segments_loudness_max_time_mean,segments_loudness_max_time_std,segments_loudness_start_mean,segments_loudness_start_std,tempo,time_signature,time_signature_confidence,segments_pitches_mean_0,segments_pitches_mean_1,segments_pitches_mean_2,segments_pitches_mean_3,segments_pitches_mean_4,segments_pitches_mean_5,segments_pitches_mean_6,segments_pitches_mean_7,segments_pitches_mean_8,segments_pitches_mean_9,segments_pitches_mean_10,segments_pitches_mean_11,segments_pitches_std_0,segments_pitches_std_1,segments_pitches_std_2,segments_pitches_std_3,segments_pitches_std_4,segments_pitches_std_5,segments_pitches_std_6,segments_pitches_std_7,segments_pitches_std_8,segments_pitches_std_9,segments_pitches_std_10,segments_pitches_std_11,segments_timbre_mean_0,segments_timbre_mean_1,segments_timbre_mean_2,segments_timbre_mean_3,segments_timbre_mean_4,segments_timbre_mean_5,segments_timbre_mean_6,segments_timbre_mean_7,segments_timbre_mean_8,segments_timbre_mean_9,segments_timbre_mean_10,segments_timbre_mean_11,segments_timbre_std_0,segments_timbre_std_1,segments_timbre_std_2,segments_timbre_std_3,segments_timbre_std_4,segments_timbre_std_5,segments_timbre_std_6,segments_timbre_std_7,segments_timbre_std_8,segments_timbre_std_9,segments_timbre_std_10,segments_timbre_std_11,timbre_mean,timbre_std,pitch_mean,pitch_std
1924,Country,191.11138,2.0,0.7360000000000001,-16.892,1.0,0.662,-18.68420338983051,2.7200424147967976,0.07136437853107347,0.042649887770938665,-25.156329096045194,3.3517757226286995,108.34,1.0,0.0,0.3025875706214691,0.5280819209039551,0.4656864406779666,0.15995480225988706,0.17779096045197776,0.20976412429378508,0.33160028248587603,0.27932062146892683,0.42945621468926615,0.6002316384180796,0.1900169491525423,0.2678827683615821,0.2568885411173005,0.30270429261771553,0.3145856668596741,0.1869232468609812,0.2016926504090347,0.2019912441771501,0.2719969307527261,0.31056131571348805,0.30664374985605763,0.3650461119608976,0.18867727879089005,0.29427482271677874,38.19337570621472,-142.06896751412427,73.65686581920903,8.750511299435033,-40.1035480225989,2.116070621468924,5.823717514124298,8.152466101694927,25.71204237288136,11.253608757062137,1.5798050847457634,34.420737288135555,2.5017325906039667,49.385489513224535,30.98349849485341,35.50075359025299,37.554165802974474,25.405518097899453,30.05299796168718,19.595722750325073,32.7800371863991,17.30278950505527,14.371459024801764,32.20679288209541,"[-142.06896751412427, 73.65686581920903, 8.750511299435033, -40.1035480225989, 2.116070621468924, 5.823717514124298, 8.152466101694927, 25.71204237288136, 11.253608757062137, 1.5798050847457634]","[49.385489513224535, 30.98349849485341, 35.50075359025299, 37.554165802974474, 25.40551809789945, 30.05299796168718, 19.595722750325073, 32.7800371863991, 17.30278950505527, 14.371459024801764]","[-142.06896751412427, 73.65686581920903, 8.750511299435033, -40.1035480225989, 2.116070621468924, 5.823717514124298, 8.152466101694927, 25.71204237288136, 11.253608757062137, 1.5798050847457634]","[49.385489513224535, 30.98349849485341, 35.50075359025299, 37.554165802974474, 25.40551809789945, 30.05299796168718, 19.595722750325073, 32.7800371863991, 17.30278950505527, 14.371459024801764]"
1936,Country,192.80934,4.0,0.195,-10.697,0.0,0.274,-13.704491493383742,4.493095077625411,0.10100839319470696,0.08785439419335661,-21.222587901701324,5.785476915372107,38.44300000000001,4.0,0.0,0.2863308128544421,0.23198676748582234,0.3181398865784504,0.2180812854442344,0.3993364839319473,0.2597958412098299,0.2523194706994329,0.37296597353497135,0.22299621928166347,0.3101568998109639,0.17445935727788267,0.25231190926276004,0.30628600589311233,0.2420511081472989,0.3314709829952708,0.2388728395366265,0.3662844249668151,0.2911592758519839,0.2553507207079539,0.3699046762905716,0.22034115150849146,0.3362203289480726,0.19343105128077773,0.2525425773493204,42.57680907372404,-31.04842533081288,28.75988657844993,-19.57886011342155,8.187996219281656,1.8938563327032127,-26.96383175803403,-2.196077504725901,9.412727788279776,4.364260869565214,-2.517434782608696,8.641185255198486,4.304517540728948,50.459543098744255,36.464388828674494,42.53665043042933,34.758675054746014,26.667209577963213,24.80143516328923,24.599825057926143,29.096444762548572,21.834538778355647,16.719010677942318,18.591057981541887,"[-31.04842533081288, 28.759886578449926, -19.57886011342155, 8.187996219281656, 1.8938563327032127, -26.96383175803403, -2.196077504725901, 9.412727788279776, 4.364260869565214, -2.517434782608696]","[50.459543098744255, 36.464388828674494, 42.53665043042933, 34.758675054746014, 26.667209577963217, 24.80143516328923, 24.599825057926143, 29.096444762548572, 21.834538778355647, 16.719010677942318]","[-31.04842533081288, 28.759886578449926, -19.57886011342155, 8.187996219281656, 1.8938563327032127, -26.96383175803403, -2.196077504725901, 9.412727788279776, 4.364260869565214, -2.517434782608696]","[50.459543098744255, 36.464388828674494, 42.53665043042933, 34.758675054746014, 26.667209577963217, 24.80143516328923, 24.599825057926143, 29.096444762548572, 21.834538778355647, 16.719010677942318]"
1940,Country,167.83628000000004,5.0,0.551,-13.147,1.0,0.551,-16.778025925925927,5.7729245816357055,0.07693585185185185,0.051304483337917414,-27.113000000000003,7.367557705287467,99.305,4.0,1.0,0.3269296296296293,0.20538333333333333,0.22000740740740746,0.13955370370370376,0.2352000000000003,0.42702592592592586,0.16736851851851853,0.2412814814814813,0.2266629629629631,0.4654833333333335,0.253603703703704,0.19259259259259265,0.3177572254210284,0.2328860619924911,0.2494182637969816,0.173477501170061,0.2411985366333595,0.3838519236995519,0.17759316628919042,0.310742251221332,0.2483822869693203,0.3578405574233265,0.31634090610474536,0.2269803073950036,38.627046296296335,-75.40975370370364,13.342779629629641,-18.562937037037056,-26.37700185185184,22.39074629629628,-13.041412962962966,1.699153703703704,2.763918518518516,1.5298018518518524,-4.664996296296296,9.145316666666664,5.692727047122655,75.87327106534956,50.47350273109527,61.94650463836396,29.24518856220429,37.5929868280282,31.12749883162467,31.21063509613595,23.089555767682423,27.46363145641344,25.22665342912768,18.847407787714168,"[-75.40975370370364, 13.342779629629641, -18.562937037037056, -26.37700185185184, 22.39074629629628, -13.041412962962966, 1.699153703703704, 2.763918518518516, 1.5298018518518524, -4.664996296296296]","[75.87327106534956, 50.47350273109527, 61.94650463836396, 29.245188562204294, 37.5929868280282, 31.127498831624667, 31.21063509613595, 23.089555767682423, 27.46363145641344, 25.22665342912768]","[-75.40975370370364, 13.342779629629641, -18.562937037037056, -26.37700185185184, 22.39074629629628, -13.041412962962966, 1.699153703703704, 2.763918518518516, 1.5298018518518524, -4.664996296296296]","[75.87327106534956, 50.47350273109527, 61.94650463836396, 29.245188562204294, 37.5929868280282, 31.127498831624667, 31.21063509613595, 23.089555767682423, 27.46363145641344, 25.22665342912768]"
1942,Country,161.80200000000005,0.0,0.14300000000000002,-21.966,1.0,0.562,-24.737910869565216,4.403053120907585,0.07880510869565217,0.051988209246331615,-32.20149347826087,5.010612813119863,146.042,4.0,0.487,0.455345652173913,0.2414760869565217,0.2563978260869566,0.16013913043478262,0.3672326086956524,0.3390304347826089,0.3609260869565219,0.4958065217391303,0.23822391304347834,0.3735913043478265,0.24770869565217385,0.294191304347826,0.32559989464700345,0.22151249222284305,0.2598748452864676,0.19299126526557905,0.31530427716341336,0.2975116642722967,0.29293595340574285,0.3335442274970403,0.1872629744559223,0.31649682038796223,0.25770707572922275,0.2629466848142802,31.88440000000001,-161.1980282608693,76.56910869565223,6.633130434782605,-36.408243478260864,7.912010869565214,5.757726086956527,14.578373913043494,-33.08063043478261,-0.8337130434782613,-2.100519565217391,-7.4287326086956496,4.1328949524305685,40.72975728102168,43.28874930647246,35.932001312932066,33.711583734376056,29.75091850971363,24.352607141629363,17.332602388191614,30.62727247679378,18.725702282303928,17.394753668027512,19.00973748670098,"[-161.1980282608693, 76.56910869565223, 6.633130434782605, -36.408243478260864, 7.912010869565214, 5.757726086956527, 14.578373913043494, -33.08063043478261, -0.8337130434782613, -2.100519565217391]","[40.72975728102168, 43.28874930647246, 35.932001312932066, 33.711583734376056, 29.75091850971363, 24.352607141629363, 17.332602388191614, 30.62727247679378, 18.725702282303928, 17.394753668027512]","[-161.1980282608693, 76.56910869565223, 6.633130434782605, -36.408243478260864, 7.912010869565214, 5.757726086956527, 14.578373913043494, -33.08063043478261, -0.8337130434782613, -2.100519565217391]","[40.72975728102168, 43.28874930647246, 35.932001312932066, 33.711583734376056, 29.75091850971363, 24.352607141629363, 17.332602388191614, 30.62727247679378, 18.725702282303928, 17.394753668027512]"
1943,Country,166.05995,0.0,0.256,-16.295,1.0,0.476,-17.44240102389079,3.522558014249477,0.06271752559726962,0.026270726227215675,-31.19473037542663,5.935248222537855,102.677,4.0,1.0,0.5119607508532429,0.21884300341296936,0.19670819112628,0.1952798634812286,0.3886143344709896,0.4015853242320823,0.2311791808873721,0.37758703071672345,0.2514368600682596,0.3566911262798635,0.22774232081911264,0.2892781569965873,0.3335947708759088,0.190142112993523,0.2553356323640483,0.21202058992030007,0.3133154611961511,0.3589192305391747,0.1808322822689349,0.35935854413769946,0.22128596452387184,0.3110157724945305,0.21589712065528294,0.22656881836348056,36.80007679180887,-167.97962798634805,87.8036245733788,30.64798464163823,-40.6782662116041,55.90853242320818,-5.8402935153583595,19.997967576791808,-1.677020477815699,5.168597269624577,-10.946127986348126,-13.60330034129692,3.341346496876933,33.98226420582418,41.02779766359959,52.65114687841467,31.169526131521497,44.7722157251007,26.87692884499835,18.397220676275445,21.199574612246227,16.70475911000014,25.361300735751254,24.834071987900785,"[-167.97962798634805, 87.8036245733788, 30.64798464163823, -40.6782662116041, 55.90853242320818, -5.84029351535836, 19.99796757679181, -1.677020477815699, 5.168597269624577, -10.946127986348126]","[33.98226420582418, 41.02779766359959, 52.65114687841467, 31.169526131521497, 44.7722157251007, 26.87692884499835, 18.397220676275445, 21.199574612246227, 16.70475911000014, 25.361300735751254]","[-167.97962798634805, 87.8036245733788, 30.64798464163823, -40.6782662116041, 55.90853242320818, -5.84029351535836, 19.99796757679181, -1.677020477815699, 5.168597269624577, -10.946127986348126]","[33.98226420582418, 41.02779766359959, 52.65114687841467, 31.169526131521497, 44.7722157251007, 26.87692884499835, 18.397220676275445, 21.199574612246227, 16.70475911000014, 25.361300735751254]"
1944,Country,148.34893,7.0,0.52,-15.937000000000005,1.0,0.542,-18.358503968253967,4.4420717223489525,0.06379948412698412,0.03779957227297142,-30.26724801587301,6.245283426663767,86.70100000000002,4.0,0.3539999999999999,0.2841428571428571,0.2772797619047619,0.3692380952380954,0.17141269841269846,0.317998015873016,0.2091746031746032,0.3832896825396827,0.3781170634920635,0.15209325396825402,0.281416666666667,0.2262301587301587,0.3669027777777776,0.3170404489312105,0.2731002328989616,0.32611796552419736,0.2057324996835744,0.3281688885932178,0.2369852677547258,0.3412690069895675,0.3452247660205113,0.165618876748526,0.29540563482659155,0.26441167585518266,0.34737676310864457,36.51760515873017,-150.62456547619038,54.89438492063484,17.845170634920628,12.939628968253965,34.51137103174599,-29.457242063492068,-1.2211051587301565,24.24632936507936,7.073513888888893,-4.411367063492063,-0.4054841269841272,4.1710985183825064,64.56585707303111,49.044810108370456,55.18723939957749,40.697626950036295,40.0299128520125,33.933406295952175,24.818083477154754,25.98229828932549,25.040717404078478,25.38608160719665,29.491283904520817,"[-150.62456547619038, 54.89438492063484, 17.845170634920628, 12.939628968253965, 34.51137103174599, -29.45724206349207, -1.2211051587301565, 24.24632936507936, 7.073513888888892, -4.411367063492063]","[64.56585707303111, 49.044810108370456, 55.18723939957749, 40.697626950036295, 40.0299128520125, 33.933406295952175, 24.818083477154754, 25.982298289325495, 25.040717404078475, 25.386081607196655]","[-150.62456547619038, 54.89438492063484, 17.845170634920628, 12.939628968253965, 34.51137103174599, -29.45724206349207, -1.2211051587301565, 24.24632936507936, 7.073513888888892, -4.411367063492063]","[64.56585707303111, 49.044810108370456, 55.18723939957749, 40.697626950036295, 40.0299128520125, 33.933406295952175, 24.818083477154754, 25.982298289325495, 25.040717404078475, 25.386081607196655]"
1945,Country,166.17750500000002,5.0,0.82,-13.2825,1.0,0.7279999999999999,-15.58634440503742,4.208270615740637,0.05852842963842386,0.03684962322666144,-25.16481890835863,4.737909648695385,167.92050000000003,4.0,0.1085,0.32155647861501,0.29007751345015165,0.4722305446184366,0.357013375011271,0.3066739322533139,0.34204778936611485,0.26515758167773723,0.3945361425866369,0.3854227044573352,0.3435423627182834,0.3216219169847616,0.290910812719786,0.2836563479770779,0.2416465412071745,0.3111281777919212,0.2815763877273699,0.25762570588255096,0.3032548609573321,0.24221931653746284,0.3277347947895439,0.2686751285363573,0.27119705380243,0.2637255304109156,0.2450931585283942,39.61449172853233,-65.6904385275465,28.872842216945696,12.071532522316732,-31.21994001532863,18.350831602596852,-20.021741702984592,-17.56039782693637,15.82065256830272,-1.034919960325808,1.643444786751224,11.848238650776956,3.5879615870487918,42.639723897387206,40.067671975958405,44.1353655592548,25.7226799397168,30.360403912133414,28.838061359669066,23.650243396284512,27.91760463539993,21.020325000318035,17.379862235838562,17.98426890189936,"[-65.6904385275465, 28.872842216945696, 12.071532522316732, -31.219940015328632, 18.35083160259685, -20.021741702984595, -17.56039782693637, 15.82065256830272, -1.034919960325808, 1.643444786751224]","[42.639723897387206, 40.06767197595841, 44.1353655592548, 25.7226799397168, 30.360403912133417, 28.838061359669066, 23.650243396284512, 27.917604635399925, 21.020325000318035, 17.37986223583856]","[-65.6904385275465, 28.872842216945696, 12.071532522316732, -31.219940015328632, 18.35083160259685, -20.021741702984595, -17.56039782693637, 15.82065256830272, -1.034919960325808, 1.643444786751224]","[42.639723897387206, 40.06767197595841, 44.1353655592548, 25.7226799397168, 30.360403912133417, 28.838061359669066, 23.650243396284512, 27.917604635399925, 21.020325000318035, 17.37986223583856]"
1946,Country,162.39758399999994,4.6,0.6287999999999997,-12.743999999999998,1.0,0.5383999999999999,-15.275928398686585,4.39370047466577,0.06636524629179663,0.044297828190111015,-26.401326543322448,6.1911828665234045,111.8118,3.2,0.3995999999999999,0.2910241792262773,0.28581985451701275,0.3396581115781905,0.22303779754903152,0.2911292579583383,0.3410617898726233,0.2475858360858299,0.3135848977766864,0.27761589140730103,0.4122941419618077,0.3160545049045551,0.26788864286952985,0.2684336921470608,0.2649543548105374,0.3090464161593729,0.21587333157465527,0.2786215513207801,0.2985762809883997,0.23283822649647784,0.3030923084851161,0.23735393675843025,0.3205704069803614,0.2764748933595985,0.25522245385817194,39.61112213754671,-22.607030356121303,42.069258813109386,7.612171198819847,-22.60365599793779,28.42457409444221,-15.803044581188084,-1.7928270127135069,14.545130175805022,1.7600123288426863,-5.061265957933556,11.178980878993595,4.11171348052868,62.954427541244314,42.38211358800342,53.970625925822226,36.21459715280966,40.549079371072004,29.869370198927477,29.43912796442429,28.37680036474281,25.140695063689552,25.181097787525612,20.770806218059747,"[-22.6070303561213, 42.06925881310938, 7.612171198819846, -22.60365599793779, 28.42457409444221, -15.803044581188086, -1.7928270127135069, 14.545130175805022, 1.7600123288426865, -5.061265957933556]","[62.954427541244314, 42.38211358800342, 53.97062592582223, 36.21459715280966, 40.54907937107201, 29.869370198927474, 29.43912796442429, 28.376800364742813, 25.140695063689552, 25.18109778752561]","[-22.6070303561213, 42.06925881310938, 7.612171198819846, -22.60365599793779, 28.42457409444221, -15.803044581188086, -1.7928270127135069, 14.545130175805022, 1.7600123288426865, -5.061265957933556]","[62.954427541244314, 42.38211358800342, 53.97062592582223, 36.21459715280966, 40.54907937107201, 29.869370198927474, 29.43912796442429, 28.376800364742813, 25.140695063689552, 25.18109778752561]"
1947,Country,167.40525999999997,6.2142857142857135,0.6550714285714287,-16.138142857142867,0.8571428571428571,0.5692857142857142,-20.886560340584413,6.419028736262437,0.06414714293350714,0.04428464455181996,-32.57090193457664,7.085296970760968,124.76935714285715,3.571428571428572,0.6050000000000001,0.2752732286678768,0.2966709380591033,0.2510618989895275,0.2423704958125135,0.3629442589909569,0.3197079011673117,0.34613066352170585,0.3277489935645025,0.3446393172820137,0.34179166065373795,0.2718362958330877,0.27428950330150503,0.26659770807235994,0.2736069771904009,0.2533553046136787,0.2348343679342746,0.2972168676271984,0.2635859139842138,0.28448523860590114,0.26844698927146515,0.2825151467971968,0.3031952356738855,0.2733695703089917,0.2660267897119627,33.78163216994468,-44.537020511740245,4.086003639310361,-5.2181032818962745,-21.20834638386581,24.045615227326547,-18.711712892912942,6.812490472047024,12.833441038895572,13.04009669340909,-7.2206024452672,14.706304283853234,5.80950479760932,58.59157262087239,48.0446328486879,54.845377680487566,33.13917259450581,43.320598109821255,29.655206592791696,30.473766326966352,29.538037936157227,24.26727492398417,24.347665665998196,20.6607404275667,"[-44.53702051174024, 4.086003639310361, -5.2181032818962745, -21.20834638386581, 24.045615227326543, -18.71171289291294, 6.812490472047024, 12.833441038895572, 13.04009669340909, -7.2206024452672]","[58.59157262087239, 48.0446328486879, 54.84537768048757, 33.13917259450581, 43.32059810982125, 29.655206592791696, 30.47376632696635, 29.538037936157224, 24.267274923984168, 24.347665665998193]","[-44.53702051174024, 4.086003639310361, -5.2181032818962745, -21.20834638386581, 24.045615227326543, -18.71171289291294, 6.812490472047024, 12.833441038895572, 13.04009669340909, -7.2206024452672]","[58.59157262087239, 48.0446328486879, 54.84537768048757, 33.13917259450581, 43.32059810982125, 29.655206592791696, 30.47376632696635, 29.538037936157224, 24.267274923984168, 24.347665665998193]"
1948,Country,167.77283999999997,5.857142857142858,0.585,-14.017571428571427,0.7142857142857143,0.5828571428571429,-16.529725934555227,4.342051626254759,0.07422787422769586,0.05864391514774085,-24.50047358769811,5.655252122676863,120.92571428571434,3.571428571428572,0.4514285714285714,0.3281811437744155,0.283678140654606,0.26912519659510004,0.32010033062283644,0.4548060804829227,0.3240827490808997,0.3395193768597755,0.33512951281446224,0.3149110025052703,0.31595116896184344,0.2458642574329606,0.2790379828967437,0.2850796348931538,0.24649867790354105,0.2460049265165746,0.2552852300630432,0.3032045339062967,0.2860626251816031,0.2785272225085941,0.27460018516518936,0.2533155257595083,0.2781022439614144,0.2397686693124321,0.2668823449401165,39.61505479540064,-57.39864723426348,43.98196513736017,-0.6271872933113504,-27.19027168327262,7.45804614909717,-21.168509493534838,-5.262869668426778,19.55864023033329,3.9527217896075486,1.5111842517802867,12.76416446996886,4.290189866673748,53.100096610600964,38.263123858381356,40.426594673872046,29.04012628851105,28.410339511314287,23.073904756507314,23.30589316913646,21.811112279417998,19.978057773004547,17.540853502863538,18.326854256051842,"[-57.39864723426348, 43.98196513736017, -0.6271872933113504, -27.19027168327262, 7.45804614909717, -21.168509493534838, -5.262869668426779, 19.558640230333292, 3.9527217896075486, 1.5111842517802867]","[53.10009661060097, 38.263123858381356, 40.42659467387205, 29.040126288511054, 28.410339511314294, 23.073904756507314, 23.30589316913646, 21.811112279417994, 19.978057773004544, 17.54085350286354]","[-57.39864723426348, 43.98196513736017, -0.6271872933113504, -27.19027168327262, 7.45804614909717, -21.168509493534838, -5.262869668426779, 19.558640230333292, 3.9527217896075486, 1.5111842517802867]","[53.10009661060097, 38.263123858381356, 40.42659467387205, 29.040126288511054, 28.410339511314294, 23.073904756507314, 23.30589316913646, 21.811112279417994, 19.978057773004544, 17.54085350286354]"
