year,genre,duration,key,key_confidence,loudness,mode,mode_confidence,segments_loudness_max_mean,segments_loudness_max_std,segments_loudness_max_time_mean,segments_loudness_max_time_std,segments_loudness_start_mean,segments_loudness_start_std,tempo,time_signature,time_signature_confidence,segments_pitches_mean_0,segments_pitches_mean_1,segments_pitches_mean_2,segments_pitches_mean_3,segments_pitches_mean_4,segments_pitches_mean_5,segments_pitches_mean_6,segments_pitches_mean_7,segments_pitches_mean_8,segments_pitches_mean_9,segments_pitches_mean_10,segments_pitches_mean_11,segments_pitches_std_0,segments_pitches_std_1,segments_pitches_std_2,segments_pitches_std_3,segments_pitches_std_4,segments_pitches_std_5,segments_pitches_std_6,segments_pitches_std_7,segments_pitches_std_8,segments_pitches_std_9,segments_pitches_std_10,segments_pitches_std_11,segments_timbre_mean_0,segments_timbre_mean_1,segments_timbre_mean_2,segments_timbre_mean_3,segments_timbre_mean_4,segments_timbre_mean_5,segments_timbre_mean_6,segments_timbre_mean_7,segments_timbre_mean_8,segments_timbre_mean_9,segments_timbre_mean_10,segments_timbre_mean_11,segments_timbre_std_0,segments_timbre_std_1,segments_timbre_std_2,segments_timbre_std_3,segments_timbre_std_4,segments_timbre_std_5,segments_timbre_std_6,segments_timbre_std_7,segments_timbre_std_8,segments_timbre_std_9,segments_timbre_std_10,segments_timbre_std_11,timbre_mean,timbre_std,pitch_mean,pitch_std
1975,Punk,248.13669,4.0,0.769,-10.979,1.0,0.617,-14.630527369826437,7.5593099515438515,0.06803106809078771,0.05905712757958436,-20.935699599465963,9.626886786260332,150.792,4.0,0.08,0.5235567423230973,0.4478838451268359,0.4180293724966624,0.42954072096128176,0.5857757009345798,0.4115527369826437,0.4643484646194924,0.3735567423230977,0.3524819759679569,0.4161081441922561,0.3637423230974634,0.5406261682242992,0.2679275225274653,0.2575544918674028,0.2674037100164859,0.2306542676798897,0.3129379842711262,0.2333386668924417,0.2802492835832253,0.23805135380276984,0.211875372739886,0.2616136896594867,0.2297770942497669,0.3201737539937741,42.08052336448598,-2.810831775700932,73.16724299065417,10.301825100133511,-9.381735647530034,-6.812635514018693,5.086931909212285,-2.0100907877169587,8.08417089452605,-2.7075500667556747,-3.1885967957276384,-7.847969292389856,8.182254044625427,39.60658723227725,40.5776770687212,40.84860842022991,30.775053212754568,33.177307429099585,23.596466824509353,21.931742801158414,20.098089755262325,14.626715384862145,18.06637983890579,19.656293207926048,"[-2.8108317757009313, 73.16724299065417, 10.301825100133511, -9.381735647530034, -6.812635514018692, 5.086931909212285, -2.0100907877169587, 8.08417089452605, -2.7075500667556747, -3.1885967957276384]","[39.60658723227725, 40.5776770687212, 40.84860842022991, 30.775053212754568, 33.177307429099585, 23.596466824509353, 21.931742801158418, 20.098089755262325, 14.626715384862145, 18.06637983890579]","[-2.8108317757009313, 73.16724299065417, 10.301825100133511, -9.381735647530034, -6.812635514018692, 5.086931909212285, -2.0100907877169587, 8.08417089452605, -2.7075500667556747, -3.1885967957276384]","[39.60658723227725, 40.5776770687212, 40.84860842022991, 30.775053212754568, 33.177307429099585, 23.596466824509353, 21.931742801158418, 20.098089755262325, 14.626715384862145, 18.06637983890579]"
1976,Punk,277.09442846153837,3.8461538461538463,0.5353846153846152,-8.490769230769233,0.6923076923076923,0.4912307692307692,-10.696001212995805,4.371718148214482,0.06407771657221549,0.08398506722269175,-16.303360635333526,5.420067312773076,138.67361538461532,3.3846153846153846,0.4744615384615384,0.4350774541207268,0.4742908911358224,0.3796652002154047,0.409706458574537,0.4833229142237686,0.3697323573838644,0.3822917715644232,0.3804356731510269,0.3913123354795047,0.4007299428272657,0.3504054221216257,0.3482453343368402,0.2632048607606013,0.2846617806974904,0.24210228601789624,0.24465281210105644,0.2790533776665389,0.24895435958794798,0.2503811873818288,0.2640361910073382,0.2738582640882408,0.2573063177217758,0.2520689800852912,0.2398504289399581,46.459291173391314,15.005607616816876,31.47215973862493,-1.7497891773847143,-24.716463019330906,-14.811932026105044,-2.0595421076261915,1.4303700016917458,7.7553571992537735,1.493693150428829,0.6337556180362279,0.8500399598846201,4.604970518292975,37.656040931700794,33.91966169681951,26.425044388800693,24.2300878575312,20.017768936754948,18.490952914070032,17.956889179279067,15.45586575120945,14.764350429001464,12.48285169428764,14.204720334720099,"[15.005607616816874, 31.472159738624935, -1.749789177384714, -24.716463019330906, -14.811932026105042, -2.0595421076261915, 1.430370001691746, 7.755357199253774, 1.493693150428829, 0.6337556180362279]","[37.656040931700794, 33.91966169681951, 26.42504438880069, 24.230087857531196, 20.017768936754948, 18.49095291407003, 17.956889179279063, 15.45586575120945, 14.764350429001464, 12.482851694287639]","[15.005607616816874, 31.472159738624935, -1.749789177384714, -24.716463019330906, -14.811932026105042, -2.0595421076261915, 1.430370001691746, 7.755357199253774, 1.493693150428829, 0.6337556180362279]","[37.656040931700794, 33.91966169681951, 26.42504438880069, 24.230087857531196, 20.017768936754948, 18.49095291407003, 17.956889179279063, 15.45586575120945, 14.764350429001464, 12.482851694287639]"
1977,Punk,164.02454491803306,6.0655737704918025,0.4440327868852458,-9.818147540983617,0.6065573770491803,0.4449836065573777,-11.538099153367753,4.016645809290841,0.06469628014866649,0.06759450194114366,-17.084320087680403,5.317714150036401,155.58386885245892,2.9672131147540983,0.3154918032786887,0.4778300022281456,0.4953909085854692,0.4172681961872723,0.3669218258118455,0.4752930113951786,0.39041281049846,0.40774320372142797,0.3915639590392692,0.3833204631604327,0.4389147857725145,0.3443015037991306,0.3968534616980773,0.2791162028916057,0.273090195404587,0.2623356162807761,0.2205523240497496,0.27662337768440176,0.2406853495241121,0.25215510415772785,0.2562790272902609,0.2416661075460165,0.28409511859094577,0.23231659762819806,0.2564118942835925,45.65670987655283,11.050526086123762,33.839063633180864,-2.3568436729930795,-30.81165517681084,-13.747751978895959,-1.2501744188748352,2.383367057216389,10.157930723202048,3.641269555813631,-1.0756877968559166,-0.6797866071898578,4.266378529914831,33.16758893317128,32.58475791037356,27.020169245362748,24.3082634831022,20.892128799155177,18.04503695779885,17.4586404729142,14.825314727164345,13.961244839427538,12.247133056089394,13.522870419005734,"[11.050526086123762, 33.839063633180864, -2.3568436729930795, -30.811655176810845, -13.74775197889596, -1.2501744188748352, 2.383367057216389, 10.157930723202048, 3.6412695558136305, -1.0756877968559166]","[33.16758893317128, 32.58475791037356, 27.020169245362748, 24.308263483102202, 20.892128799155177, 18.045036957798853, 17.4586404729142, 14.825314727164344, 13.96124483942754, 12.247133056089394]","[11.050526086123762, 33.839063633180864, -2.3568436729930795, -30.811655176810845, -13.74775197889596, -1.2501744188748352, 2.383367057216389, 10.157930723202048, 3.6412695558136305, -1.0756877968559166]","[33.16758893317128, 32.58475791037356, 27.020169245362748, 24.308263483102202, 20.892128799155177, 18.045036957798853, 17.4586404729142, 14.825314727164344, 13.96124483942754, 12.247133056089394]"
1978,Punk,162.90306814159302,5.6371681415929205,0.4752566371681415,-9.912442477876093,0.7256637168141593,0.4503716814159296,-11.73109016420617,4.0693837289120385,0.06318697508825373,0.06430710977653363,-17.420402263041275,5.49635680236799,143.7625132743362,2.9557522123893807,0.28068141592920365,0.4614157969686621,0.4893780094110429,0.4323234383924527,0.36683897890577055,0.4873836116503501,0.3971136426063157,0.3904656537159737,0.3945735878474517,0.38659434353272415,0.4661145332818126,0.3572675341530493,0.4083190366344582,0.272458674838734,0.2713532516064868,0.26858240395696903,0.2171559865797974,0.2739509992955504,0.24074290790481645,0.23803196316940745,0.2517263526824643,0.2352474092033333,0.2881831661314053,0.22728088038555835,0.2603629292416925,45.42177239068891,14.302562021676412,42.765702119148905,1.0349028265060671,-28.72318777647308,-12.040549325575745,-2.8054839761919017,2.5498220970160514,8.428413156296905,2.556784267894189,-0.3769893666655308,0.051164656866086254,4.328426790600612,33.67127012944322,33.7464231560725,27.912692411038385,25.264232977370767,22.104510499104983,18.90564371155152,17.67363753548673,15.572068333142171,14.36183811864222,13.24971537700382,13.797167786125968,"[14.302562021676412, 42.765702119148905, 1.034902826506067, -28.72318777647308, -12.040549325575743, -2.805483976191902, 2.5498220970160514, 8.428413156296905, 2.5567842678941894, -0.3769893666655308]","[33.67127012944322, 33.7464231560725, 27.912692411038385, 25.264232977370774, 22.10451049910498, 18.90564371155152, 17.67363753548673, 15.572068333142173, 14.36183811864222, 13.24971537700382]","[14.302562021676412, 42.765702119148905, 1.034902826506067, -28.72318777647308, -12.040549325575743, -2.805483976191902, 2.5498220970160514, 8.428413156296905, 2.5567842678941894, -0.3769893666655308]","[33.67127012944322, 33.7464231560725, 27.912692411038385, 25.264232977370774, 22.10451049910498, 18.90564371155152, 17.67363753548673, 15.572068333142173, 14.36183811864222, 13.24971537700382]"
1979,Punk,180.6060340000001,5.5578947368421066,0.3960631578947364,-10.039136842105252,0.7894736842105263,0.4358526315789472,-12.100848928340776,4.6147833924501835,0.05912225441995885,0.05779770152558309,-18.15183604018485,5.846136432505572,142.26047368421047,3.0,0.2631368421052632,0.4925137734735387,0.4886751406526244,0.42515217714246384,0.35875707944046764,0.4591270134730449,0.3728347749131389,0.3701835539964261,0.3794198229028089,0.3498397930177757,0.3995487069748069,0.3406025546051751,0.4188610100665494,0.2839509333492009,0.2767890856283636,0.27707560771317585,0.2284507443997849,0.2836862648688735,0.2426745261907089,0.24102799780142115,0.2598893451175189,0.23548473582731705,0.2761162414418156,0.23688875174304355,0.2754076494766701,44.88925730418784,27.31747111578232,28.869455124565487,-0.9642768098547401,-25.817693854074477,-13.415566453552838,2.068919483855338,3.8896187104843167,7.105311848012168,3.469574378672309,-1.1605879675983553,-0.2273277045426399,4.833414908978515,36.11811431648412,36.072066254578985,28.71271581576789,25.63368549636661,22.87335805694229,19.212935735517192,18.492768024684146,16.0220668385015,14.950494550311255,13.154608527086143,13.975109347518158,"[27.317471115782322, 28.86945512456549, -0.96427680985474, -25.817693854074477, -13.415566453552838, 2.0689194838553386, 3.8896187104843167, 7.105311848012168, 3.4695743786723092, -1.1605879675983553]","[36.11811431648412, 36.072066254578985, 28.712715815767893, 25.633685496366613, 22.873358056942287, 19.212935735517192, 18.49276802468415, 16.0220668385015, 14.950494550311257, 13.154608527086145]","[27.317471115782322, 28.86945512456549, -0.96427680985474, -25.817693854074477, -13.415566453552838, 2.0689194838553386, 3.8896187104843167, 7.105311848012168, 3.4695743786723092, -1.1605879675983553]","[36.11811431648412, 36.072066254578985, 28.712715815767893, 25.633685496366613, 22.873358056942287, 19.212935735517192, 18.49276802468415, 16.0220668385015, 14.950494550311257, 13.154608527086145]"
1980,Punk,179.93519666666657,5.070707070707072,0.4348686868686869,-8.435303030303036,0.7171717171717171,0.4512525252525255,-10.576857026330183,4.681237597103523,0.060424079498105285,0.06001388601668025,-16.71006152749647,5.947799141292869,141.95827272727266,3.0,0.2709494949494951,0.5039743088308913,0.4940093144594786,0.4356992789436932,0.3691402050420614,0.45610716234904,0.3907594141417234,0.4084952535046062,0.4141431031163504,0.3879271257227673,0.4202369658369887,0.3545020494152421,0.4297762597345649,0.2783123332027687,0.2699408885923403,0.26942985688416765,0.22526499071444395,0.28024033043274965,0.2444954296177659,0.2449337690462149,0.26196935541511035,0.2424589319523081,0.277769449074227,0.2351516254115765,0.2703693474624501,46.347875891873024,31.75493919462027,32.40645873627417,0.5534298924152469,-20.460792293361283,-12.325025782930155,-4.7815829681963065,0.8006053080282763,6.210905037534518,2.3616196412202712,0.044177882143287335,1.170748464520252,4.932148272504348,36.612939110125545,34.269653321100996,29.867435815768143,25.77839545967781,23.315838560687943,18.694360574261715,18.54486341864862,15.857025147832664,15.406767152633195,13.54679412382874,13.758841499019596,"[31.75493919462027, 32.406458736274175, 0.5534298924152469, -20.460792293361276, -12.325025782930155, -4.781582968196307, 0.8006053080282763, 6.210905037534519, 2.3616196412202712, 0.04417788214328734]","[36.61293911012555, 34.269653321101, 29.86743581576814, 25.77839545967781, 23.31583856068794, 18.694360574261715, 18.54486341864862, 15.857025147832662, 15.406767152633197, 13.54679412382874]","[31.75493919462027, 32.406458736274175, 0.5534298924152469, -20.460792293361276, -12.325025782930155, -4.781582968196307, 0.8006053080282763, 6.210905037534519, 2.3616196412202712, 0.04417788214328734]","[36.61293911012555, 34.269653321101, 29.86743581576814, 25.77839545967781, 23.31583856068794, 18.694360574261715, 18.54486341864862, 15.857025147832662, 15.406767152633197, 13.54679412382874]"
1981,Punk,149.06430614678902,4.926605504587156,0.3988256880733943,-8.468779816513765,0.6972477064220184,0.42548623853211015,-10.638394018154619,4.88448194851187,0.07198979108520111,0.08478907024039113,-16.23085186606311,6.089645738182751,142.86751376146796,3.0917431192660554,0.28802752293578004,0.5083403583582048,0.528274021388755,0.44218510527346944,0.4155235363145922,0.4929738311986247,0.4326647118307227,0.4347619440001512,0.4179159008097164,0.3850208584706571,0.4026476031678964,0.3617694617626045,0.4281535352632576,0.26559382669017256,0.27389691001857586,0.25555910858461345,0.2352541599879111,0.2719161811804256,0.2447391372555778,0.249700968231317,0.2533279505222019,0.2334445113687338,0.2564167796259153,0.22879894551771215,0.25773322533889026,46.53319229278723,24.455113081757045,39.318844780191455,-0.15912744043747634,-28.89958279533106,-13.451518185356267,-4.873047493024477,1.6690351573872544,5.4002607710081705,2.997269060355623,-0.2908967865712451,-1.45853414513131,5.131543568159632,34.959716316617765,32.55834646947549,27.98628113921191,26.6062374997649,21.739019803790995,17.751564242387673,17.26992310580205,15.723956289007992,14.325873334199107,12.772393469225447,13.115408465428391,"[24.455113081757045, 39.31884478019145, -0.15912744043747634, -28.89958279533106, -13.451518185356267, -4.873047493024476, 1.6690351573872544, 5.4002607710081705, 2.997269060355623, -0.29089678657124507]","[34.959716316617765, 32.558346469475495, 27.986281139211908, 26.6062374997649, 21.739019803790992, 17.751564242387673, 17.26992310580205, 15.723956289007992, 14.325873334199109, 12.772393469225447]","[24.455113081757045, 39.31884478019145, -0.15912744043747634, -28.89958279533106, -13.451518185356267, -4.873047493024476, 1.6690351573872544, 5.4002607710081705, 2.997269060355623, -0.29089678657124507]","[34.959716316617765, 32.558346469475495, 27.986281139211908, 26.6062374997649, 21.739019803790992, 17.751564242387673, 17.26992310580205, 15.723956289007992, 14.325873334199109, 12.772393469225447]"
1982,Punk,161.27579131250005,5.4875,0.4168062499999999,-8.235393750000009,0.6875,0.4320312499999995,-10.189079760098112,4.5672361044214815,0.06355861351529138,0.07000104015076106,-15.77682103110477,5.884577717089453,142.13631249999986,3.14375,0.28886874999999995,0.4925075144880594,0.5246190299957477,0.466319638610241,0.3933384979685551,0.4554601784926044,0.40170183261078185,0.4075372323773495,0.3965136814994653,0.3760478822624215,0.4164528265472469,0.3544742386097501,0.40228758438573936,0.27326295901931485,0.2718363009130837,0.2708494399963368,0.2277189608267489,0.2665098073486524,0.23845310591874944,0.24129412746092235,0.2500279650512211,0.2295903007178334,0.2705408392225228,0.2313083886561086,0.2574954042657624,46.998193666864125,30.8256085230752,31.599578507713108,-2.8090281276161027,-24.813187006522032,-14.708383323519039,-3.547596509356952,1.7026539519696953,6.218459868328633,3.094714290987042,-1.1510410241417333,-2.50179105309339,4.89527933010509,36.61249941262186,32.34125251149873,28.320168108002232,24.924206787274127,21.25212950363605,18.386998355099475,17.821470238412722,15.47973351523317,14.624094541539517,12.660672853346874,13.116970001712199,"[30.825608523075196, 31.59957850771311, -2.8090281276161027, -24.813187006522032, -14.708383323519039, -3.5475965093569517, 1.7026539519696953, 6.218459868328634, 3.094714290987042, -1.1510410241417333]","[36.61249941262186, 32.34125251149873, 28.320168108002235, 24.924206787274127, 21.25212950363605, 18.386998355099475, 17.821470238412722, 15.479733515233168, 14.624094541539518, 12.660672853346876]","[30.825608523075196, 31.59957850771311, -2.8090281276161027, -24.813187006522032, -14.708383323519039, -3.5475965093569517, 1.7026539519696953, 6.218459868328634, 3.094714290987042, -1.1510410241417333]","[36.61249941262186, 32.34125251149873, 28.320168108002235, 24.924206787274127, 21.25212950363605, 18.386998355099475, 17.821470238412722, 15.479733515233168, 14.624094541539518, 12.660672853346876]"
1983,Punk,130.3372022093023,5.337209302325581,0.4077441860465117,-8.850372093023264,0.6511627906976745,0.4260116279069767,-10.775537315297472,4.476115579094503,0.06335839683887845,0.0738406702040883,-16.255629546824224,5.780569720341116,140.738453488372,3.081395348837209,0.2146511627906975,0.5417828699991373,0.5421981276125174,0.436989543264142,0.4100575067612068,0.46969960193136,0.4280649243030248,0.42519662212519255,0.4034675656875347,0.4001854679475049,0.4213876370493417,0.3850745168121203,0.4341486483733015,0.2759819153133597,0.2718578722507943,0.2530923394177895,0.23823745785147696,0.2678733571119219,0.2468922674762376,0.2469020034449275,0.2509108425252988,0.24243800537717666,0.2624768041562079,0.2466042841915223,0.2666838164919347,46.43399213560478,40.24388111642783,32.47501916511693,-1.838544273773393,-33.03777540610541,-14.945889337013874,2.3431511491027583,2.1992350870530517,8.436455168329255,4.050979974566559,-1.4934736566041713,1.2249524087346004,4.777543984056363,34.45914138481281,34.07909304533482,28.73298191688058,26.23986924052715,21.70784181575615,17.927097700218606,17.893812825327704,15.655429024767502,15.038157781469016,12.838288564444795,12.966135216951704,"[40.24388111642783, 32.47501916511693, -1.838544273773393, -33.03777540610541, -14.945889337013872, 2.3431511491027583, 2.199235087053052, 8.436455168329255, 4.050979974566559, -1.4934736566041713]","[34.45914138481281, 34.07909304533482, 28.73298191688058, 26.23986924052715, 21.707841815756147, 17.927097700218606, 17.893812825327704, 15.655429024767502, 15.038157781469016, 12.838288564444795]","[40.24388111642783, 32.47501916511693, -1.838544273773393, -33.03777540610541, -14.945889337013872, 2.3431511491027583, 2.199235087053052, 8.436455168329255, 4.050979974566559, -1.4934736566041713]","[34.45914138481281, 34.07909304533482, 28.73298191688058, 26.23986924052715, 21.707841815756147, 17.927097700218606, 17.893812825327704, 15.655429024767502, 15.038157781469016, 12.838288564444795]"
1984,Punk,129.90056440000006,6.04,0.3742533333333333,-9.552640000000013,0.7066666666666667,0.4194933333333339,-11.213536558864766,4.094009168471813,0.05841919391280464,0.06993422100992809,-16.815258440547485,5.392113429728721,153.20990666666657,2.813333333333333,0.15518666666666653,0.5437821231076866,0.5388541941566619,0.4455374612334195,0.40777193645963616,0.4833003294555029,0.4202647131933325,0.4560823795915032,0.4453273521600926,0.4348596675048516,0.4562177791994042,0.3901560315716972,0.4359495148547133,0.2635728051299798,0.2529522909086898,0.2612223561351477,0.2289194589763004,0.25861456087083445,0.2339244430107347,0.24038373506520755,0.2510057597936168,0.2418329096466405,0.2709547107958961,0.2370078206683836,0.2703954822931896,45.85971904182358,37.517654441848066,31.215427857728105,-0.7370227654816718,-26.858642349983068,-15.834684294407925,-3.177486960243177,-0.5177717095010606,9.64367148151478,4.394963631444469,-1.0008363769959838,-1.452816313406583,4.427150009745184,33.18160754258396,31.75766826344091,29.16615306602818,24.15604700656624,21.640087338931632,17.95510459994499,17.79050237740147,15.243441832607868,14.417295270717215,12.999297977886538,13.134785752140136,"[37.517654441848066, 31.215427857728102, -0.7370227654816718, -26.858642349983064, -15.834684294407925, -3.1774869602431766, -0.5177717095010606, 9.643671481514781, 4.394963631444468, -1.0008363769959838]","[33.18160754258396, 31.75766826344091, 29.16615306602818, 24.15604700656624, 21.640087338931632, 17.95510459994499, 17.790502377401467, 15.243441832607868, 14.417295270717215, 12.99929797788654]","[37.517654441848066, 31.215427857728102, -0.7370227654816718, -26.858642349983064, -15.834684294407925, -3.1774869602431766, -0.5177717095010606, 9.643671481514781, 4.394963631444468, -1.0008363769959838]","[33.18160754258396, 31.75766826344091, 29.16615306602818, 24.15604700656624, 21.640087338931632, 17.95510459994499, 17.790502377401467, 15.243441832607868, 14.417295270717215, 12.99929797788654]"
