year,genre,duration,key,key_confidence,loudness,mode,mode_confidence,segments_loudness_max_mean,segments_loudness_max_std,segments_loudness_max_time_mean,segments_loudness_max_time_std,segments_loudness_start_mean,segments_loudness_start_std,tempo,time_signature,time_signature_confidence,segments_pitches_mean_0,segments_pitches_mean_1,segments_pitches_mean_2,segments_pitches_mean_3,segments_pitches_mean_4,segments_pitches_mean_5,segments_pitches_mean_6,segments_pitches_mean_7,segments_pitches_mean_8,segments_pitches_mean_9,segments_pitches_mean_10,segments_pitches_mean_11,segments_pitches_std_0,segments_pitches_std_1,segments_pitches_std_2,segments_pitches_std_3,segments_pitches_std_4,segments_pitches_std_5,segments_pitches_std_6,segments_pitches_std_7,segments_pitches_std_8,segments_pitches_std_9,segments_pitches_std_10,segments_pitches_std_11,segments_timbre_mean_0,segments_timbre_mean_1,segments_timbre_mean_2,segments_timbre_mean_3,segments_timbre_mean_4,segments_timbre_mean_5,segments_timbre_mean_6,segments_timbre_mean_7,segments_timbre_mean_8,segments_timbre_mean_9,segments_timbre_mean_10,segments_timbre_mean_11,segments_timbre_std_0,segments_timbre_std_1,segments_timbre_std_2,segments_timbre_std_3,segments_timbre_std_4,segments_timbre_std_5,segments_timbre_std_6,segments_timbre_std_7,segments_timbre_std_8,segments_timbre_std_9,segments_timbre_std_10,segments_timbre_std_11,timbre_mean,timbre_std,pitch_mean,pitch_std
1945,RnB,193.93261,11.0,0.601,-17.000999999999998,0.0,0.45,-22.80184335154827,7.158117551857338,0.07042859744990893,0.0498431868288991,-35.51993806921676,6.866973841330143,72.44800000000002,1.0,0.0,0.13119125683060107,0.1738469945355193,0.2742240437158472,0.17839708561020054,0.3751038251366116,0.1477158469945356,0.22021675774134794,0.26645901639344266,0.2545063752276869,0.2824663023679417,0.1942258652094717,0.4670928961748637,0.19408461958449533,0.2459220378910263,0.3241452412395665,0.22294794019057948,0.3813192015656123,0.2030326795957868,0.2833857720867118,0.3326777660792455,0.3012144974210641,0.3285644900048638,0.2329702248567159,0.3890282514694002,31.127167577413484,-133.7537049180327,18.508903460837885,-1.8046757741347907,10.458369763205829,29.14512750455375,-41.36900364298725,4.5856976320582845,2.411528233151184,18.098457194899822,-5.992116575591981,-4.91416393442623,5.715912477227729,64.87330303623332,48.770175893368425,65.15693735569754,41.671404153143264,46.62465528985857,28.57201075970057,32.454014412431995,23.603843270649328,26.669164124111,22.85769035882988,18.469270656655347,"[-133.7537049180327, 18.508903460837892, -1.8046757741347907, 10.458369763205829, 29.145127504553745, -41.36900364298725, 4.5856976320582845, 2.411528233151184, 18.098457194899822, -5.992116575591981]","[64.87330303623332, 48.770175893368425, 65.15693735569754, 41.671404153143264, 46.62465528985857, 28.57201075970057, 32.454014412431995, 23.60384327064933, 26.669164124110996, 22.85769035882988]","[-133.7537049180327, 18.508903460837892, -1.8046757741347907, 10.458369763205829, 29.145127504553745, -41.36900364298725, 4.5856976320582845, 2.411528233151184, 18.098457194899822, -5.992116575591981]","[64.87330303623332, 48.770175893368425, 65.15693735569754, 41.671404153143264, 46.62465528985857, 28.57201075970057, 32.454014412431995, 23.60384327064933, 26.669164124110996, 22.85769035882988]"
1948,RnB,164.72771,1.0,0.4749999999999999,-10.144,1.0,0.324,-12.253489795918364,4.868595676243758,0.07566421768707482,0.08284973466615286,-19.61833333333333,5.810796119168932,149.62,4.0,0.8859999999999998,0.3666156462585032,0.4391921768707486,0.2704676870748299,0.35706802721088443,0.33407482993197274,0.365722789115646,0.2602619047619049,0.2925051020408164,0.4209965986394557,0.2898537414965984,0.31102040816326537,0.25158843537414954,0.30283154972739673,0.3295093427288544,0.22305971557181026,0.3063063339244401,0.276881444911962,0.32610323428728644,0.259357590938311,0.2583321142763441,0.30680571749520985,0.22147187526550685,0.26168748483555976,0.2160126933209789,44.38083333333335,-25.7675986394558,98.94586054421774,19.715472789115644,-73.2606428571428,12.14486734693878,-9.327590136054422,-0.21277551020408128,39.840897959183685,12.315824829931975,-0.9119489795918372,4.198503401360557,4.838807881464073,38.12261573053756,34.04020868748244,39.03043733871426,25.67672464082232,29.938385498234663,22.796811846640463,18.766757576614033,22.53510314626309,15.891939410686186,16.42221876153824,15.929058430361776,"[-25.7675986394558, 98.94586054421774, 19.715472789115644, -73.2606428571428, 12.14486734693878, -9.327590136054422, -0.21277551020408128, 39.840897959183685, 12.315824829931975, -0.9119489795918372]","[38.12261573053756, 34.04020868748244, 39.03043733871426, 25.676724640822318, 29.938385498234663, 22.796811846640463, 18.766757576614033, 22.535103146263094, 15.891939410686186, 16.42221876153824]","[-25.7675986394558, 98.94586054421774, 19.715472789115644, -73.2606428571428, 12.14486734693878, -9.327590136054422, -0.21277551020408128, 39.840897959183685, 12.315824829931975, -0.9119489795918372]","[38.12261573053756, 34.04020868748244, 39.03043733871426, 25.676724640822318, 29.938385498234663, 22.796811846640463, 18.766757576614033, 22.535103146263094, 15.891939410686186, 16.42221876153824]"
1949,RnB,148.27057,6.0,0.755,-11.475,1.0,0.595,-16.559794059405938,6.641928102887378,0.06786372277227723,0.04688422877391848,-24.464233663366326,7.5378680680115355,130.27100000000002,4.0,0.212,0.4453920792079205,0.6488930693069301,0.2113306930693072,0.3049188118811883,0.2518811881188117,0.4815425742574258,0.5079049504950495,0.16459405940594046,0.2878475247524754,0.4199504950495046,0.3807247524752479,0.300409900990099,0.2353564828014453,0.32145845927751554,0.17534340718736507,0.2435339879965002,0.2433346995040921,0.2986924884272754,0.3430683776707946,0.15226997768215247,0.2367795367605204,0.2822748248731735,0.2666737642064321,0.30776416376184834,39.63537425742576,-106.34636633663365,101.07242574257424,20.120600000000003,-43.71940990099015,15.886061386138616,-7.015348514851485,6.585271287128714,-0.2879544554455462,-9.120087128712873,1.177128712871287,7.925685148514848,6.41617220119418,90.27520464833886,37.13881403043264,56.2022199452535,45.38779429222321,32.69348839224193,33.83258734312263,27.657979200604235,32.643530750476906,21.20878539018824,18.466404142274406,26.43380157751591,"[-106.34636633663365, 101.07242574257424, 20.120600000000003, -43.719409900990144, 15.886061386138616, -7.015348514851485, 6.585271287128715, -0.2879544554455462, -9.120087128712873, 1.177128712871287]","[90.27520464833886, 37.13881403043264, 56.20221994525351, 45.38779429222321, 32.69348839224193, 33.83258734312263, 27.657979200604235, 32.643530750476906, 21.20878539018824, 18.466404142274406]","[-106.34636633663365, 101.07242574257424, 20.120600000000003, -43.719409900990144, 15.886061386138616, -7.015348514851485, 6.585271287128715, -0.2879544554455462, -9.120087128712873, 1.177128712871287]","[90.27520464833886, 37.13881403043264, 56.20221994525351, 45.38779429222321, 32.69348839224193, 33.83258734312263, 27.657979200604235, 32.643530750476906, 21.20878539018824, 18.466404142274406]"
1952,RnB,149.10648999999995,1.0,0.898,-10.104,1.0,0.765,-14.330298568507152,5.7741924734695855,0.06262439672801637,0.034948399714893566,-22.758631901840488,6.074054107438176,93.411,4.0,0.002,0.37424539877300617,0.4004089979550099,0.2974110429447859,0.4770347648261759,0.2559570552147241,0.4686462167689159,0.3279550102249488,0.2962024539877302,0.4459447852760736,0.16124335378323087,0.3162576687116564,0.2769141104294479,0.2669947134275436,0.3064003028786175,0.21989089309889207,0.33463247980720306,0.22570730498102745,0.3543279932212047,0.2951430383879052,0.2334138874552317,0.3359854702440834,0.1300720898190589,0.28017879747709384,0.2366544960405196,41.64214928425359,-13.224834355828225,17.29962781186095,-15.874089979550092,-3.0241247443762806,9.805969325153363,-21.3351799591002,2.8659243353783226,6.222413087934562,-3.1530981595092005,1.100302658486707,29.063249488752533,5.187138593634755,45.158488761585396,45.46118040329648,42.05422016206881,25.614259439314672,32.073275453244136,24.96250203970216,19.189572455235282,15.150752674990256,15.301258281611664,18.141628297331547,14.636258026333785,"[-13.224834355828227, 17.29962781186095, -15.874089979550092, -3.0241247443762806, 9.805969325153363, -21.3351799591002, 2.8659243353783226, 6.222413087934562, -3.1530981595092, 1.100302658486707]","[45.158488761585396, 45.461180403296474, 42.05422016206881, 25.61425943931467, 32.073275453244136, 24.96250203970216, 19.189572455235282, 15.150752674990256, 15.301258281611664, 18.141628297331547]","[-13.224834355828227, 17.29962781186095, -15.874089979550092, -3.0241247443762806, 9.805969325153363, -21.3351799591002, 2.8659243353783226, 6.222413087934562, -3.1530981595092, 1.100302658486707]","[45.158488761585396, 45.461180403296474, 42.05422016206881, 25.61425943931467, 32.073275453244136, 24.96250203970216, 19.189572455235282, 15.150752674990256, 15.301258281611664, 18.141628297331547]"
1953,RnB,169.84771,3.0,0.405,-7.96,0.0,0.414,-10.954853125,5.9522972913029735,0.067128,0.05051762605207711,-22.97165625,8.654169654382558,148.907,1.0,0.0,0.4153484374999999,0.3507515625,0.2893703125,0.4342499999999999,0.26245624999999995,0.2482640625,0.3488578124999997,0.27014375,0.33949374999999965,0.3313937500000001,0.565503125,0.4047218749999999,0.2607985372443809,0.2819466968086496,0.2665801862126148,0.3584463828454682,0.21093599730946244,0.22693601925101306,0.2860509517030401,0.2144147221762945,0.2770948618450683,0.23548816575560125,0.33026538096693475,0.26238983549574546,43.240748437500045,-35.1996703125,32.959212500000035,5.925970312499998,-1.1881953125,29.46024999999999,-2.716123437499997,-5.597554687499998,11.6080109375,-7.724823437499992,-7.035448437499998,11.629499999999993,6.309031274998072,77.1893559832069,53.28965687106732,65.85831102116165,36.30690633811514,45.03911019595913,24.225263008480955,27.12857194240989,23.091627467849538,22.07553431937747,28.97624389527723,16.961574588518452,"[-35.1996703125, 32.959212500000035, 5.925970312499998, -1.1881953125, 29.46024999999999, -2.716123437499997, -5.597554687499998, 11.6080109375, -7.724823437499992, -7.035448437499997]","[77.1893559832069, 53.289656871067315, 65.85831102116165, 36.30690633811514, 45.03911019595913, 24.225263008480955, 27.12857194240989, 23.091627467849538, 22.07553431937747, 28.976243895277225]","[-35.1996703125, 32.959212500000035, 5.925970312499998, -1.1881953125, 29.46024999999999, -2.716123437499997, -5.597554687499998, 11.6080109375, -7.724823437499992, -7.035448437499997]","[77.1893559832069, 53.289656871067315, 65.85831102116165, 36.30690633811514, 45.03911019595913, 24.225263008480955, 27.12857194240989, 23.091627467849538, 22.07553431937747, 28.976243895277225]"
1954,RnB,148.45342,7.0,0.456,-8.417,0.0,0.5720000000000001,-11.355612173913045,4.230656141220069,0.07552772173913043,0.04103930498851025,-21.80540347826087,6.505590086712791,169.29,4.0,0.892,0.2057826086956521,0.42495652173913023,0.5214278260869566,0.4152243478260869,0.2496313043478259,0.19093739130434784,0.2122904347826086,0.4076034782608695,0.2673843478260869,0.2945391304347825,0.27394260869565223,0.20496,0.2131055334645131,0.33557607810539397,0.324543855828675,0.3169071790017314,0.2368814483771476,0.21522920339302173,0.1942771507404075,0.3720253324545277,0.2208426945928016,0.2550684984540265,0.2499944176979781,0.21728114458301348,43.79130608695656,-68.94936521739129,52.30445391304351,-1.6639234782608667,-2.8468834782608687,26.82717217391307,-19.77579130434784,0.22324347826086954,14.098906086956518,0.8252556521739124,-7.035420869565222,10.063556521739132,4.024523409240923,41.54581708848792,55.81358701950203,55.73730068814868,30.56045040924607,39.61744272672252,28.68287726822873,26.868336074106878,21.52740495077516,21.048595560684106,22.867792180351344,18.895010956422514,"[-68.94936521739129, 52.30445391304351, -1.6639234782608667, -2.8468834782608687, 26.82717217391307, -19.77579130434784, 0.22324347826086954, 14.098906086956518, 0.8252556521739124, -7.035420869565222]","[41.54581708848792, 55.81358701950203, 55.73730068814868, 30.56045040924607, 39.61744272672252, 28.682877268228726, 26.868336074106878, 21.52740495077516, 21.048595560684102, 22.867792180351344]","[-68.94936521739129, 52.30445391304351, -1.6639234782608667, -2.8468834782608687, 26.82717217391307, -19.77579130434784, 0.22324347826086954, 14.098906086956518, 0.8252556521739124, -7.035420869565222]","[41.54581708848792, 55.81358701950203, 55.73730068814868, 30.56045040924607, 39.61744272672252, 28.682877268228726, 26.868336074106878, 21.52740495077516, 21.048595560684102, 22.867792180351344]"
1955,RnB,154.01751000000004,8.0,0.3,-9.746,1.0,0.514,-11.223176363636362,3.6629999309787618,0.06455123636363637,0.03750399297430688,-18.641467272727272,5.5118328212064736,87.90899999999998,4.0,0.852,0.2599618181818181,0.33963272727272736,0.24382545454545465,0.3424581818181817,0.2559945454545455,0.30333454545454513,0.3007272727272727,0.33298181818181805,0.6789527272727276,0.3700999999999995,0.2836836363636364,0.2423781818181817,0.2300282283000851,0.3244602449689165,0.2383904484192281,0.3195743149827501,0.2366656674553074,0.25974207641650404,0.2700986186592832,0.26843772197385457,0.32169940450084483,0.21908359342746528,0.2865834891923921,0.2561533111179595,45.47158363636358,-7.558170909090903,24.402130909090953,-8.140758181818187,-1.8415290909090896,0.16601272727272628,-19.923319999999983,5.0925436363636365,22.33420545454545,10.263345454545457,-3.012296363636366,11.75862181818182,4.125117441777812,43.593821068627584,33.44299778751286,36.43756126813096,27.639556961224798,27.41853958457209,26.66022355944184,20.814244043768447,20.697037825025014,16.1029774629281,14.553566728637204,16.326117684436483,"[-7.558170909090902, 24.402130909090953, -8.140758181818187, -1.8415290909090896, 0.16601272727272628, -19.923319999999983, 5.092543636363637, 22.33420545454545, 10.263345454545457, -3.012296363636366]","[43.593821068627584, 33.44299778751286, 36.43756126813096, 27.639556961224798, 27.418539584572088, 26.660223559441835, 20.814244043768447, 20.697037825025014, 16.1029774629281, 14.553566728637202]","[-7.558170909090902, 24.402130909090953, -8.140758181818187, -1.8415290909090896, 0.16601272727272628, -19.923319999999983, 5.092543636363637, 22.33420545454545, 10.263345454545457, -3.012296363636366]","[43.593821068627584, 33.44299778751286, 36.43756126813096, 27.639556961224798, 27.418539584572088, 26.660223559441835, 20.814244043768447, 20.697037825025014, 16.1029774629281, 14.553566728637202]"
1956,RnB,140.20917800000007,4.4,0.2558,-8.814199999999998,0.6,0.31160000000000004,-11.01177422022576,4.715208783225912,0.06901007426875562,0.05135026640807084,-20.3619585304154,6.977074194525253,107.88919999999996,2.2,0.3857999999999999,0.4189880596026088,0.5084180722122518,0.29979502427615795,0.2689625335840727,0.25022017928183593,0.3487199037842699,0.2939974108176817,0.30757225946386924,0.4075710028894161,0.36329534259607743,0.3801489749289991,0.2903271681804093,0.2658391540766163,0.32257266137555074,0.2406427727164405,0.2556518186988702,0.23526741710926555,0.3004642417114215,0.2606048130210571,0.27158074423972595,0.30319920254171845,0.26773548572585365,0.29285049345182945,0.23847110582076755,44.61139082635318,3.82655049038884,30.986180860745407,0.7098332602205174,5.977190681965702,7.049021251621214,-3.4459911835434744,1.9337479668287223,17.933151014021202,2.2065141690930283,-4.279578529641709,15.154424282427554,5.095492027228691,50.81315891396597,46.5924619853674,50.20321673372755,31.876469034331297,34.887801607912444,32.65751688161357,23.39209980639638,26.04586436628513,18.95995141745973,21.33218124228395,20.753042245570537,"[3.8265504903888394, 30.986180860745403, 0.7098332602205174, 5.977190681965701, 7.049021251621214, -3.4459911835434744, 1.9337479668287225, 17.933151014021202, 2.2065141690930283, -4.279578529641709]","[50.81315891396597, 46.59246198536741, 50.20321673372755, 31.876469034331297, 34.88780160791244, 32.65751688161357, 23.39209980639638, 26.045864366285127, 18.95995141745973, 21.332181242283955]","[3.8265504903888394, 30.986180860745403, 0.7098332602205174, 5.977190681965701, 7.049021251621214, -3.4459911835434744, 1.9337479668287225, 17.933151014021202, 2.2065141690930283, -4.279578529641709]","[50.81315891396597, 46.59246198536741, 50.20321673372755, 31.876469034331297, 34.88780160791244, 32.65751688161357, 23.39209980639638, 26.045864366285127, 18.95995141745973, 21.332181242283955]"
1957,RnB,160.355464375,4.4375,0.5245000000000001,-13.075124999999995,0.75,0.5235625000000003,-16.741529995689106,5.678247567090202,0.07143457765256367,0.046979080034960215,-26.959105953885,7.0434263963932295,121.78325000000002,3.375,0.5924375000000002,0.36399335298074975,0.3519707844706681,0.31419086634410603,0.3039427287831895,0.3031446133831385,0.3597405310049886,0.2621438426175143,0.3378270526302929,0.3101385217525599,0.3056373545478685,0.32813874527981274,0.2599076291380916,0.30080664427540404,0.2758259651629513,0.2718412209260776,0.2721326292704028,0.2682481821904063,0.30135874876159585,0.2281328257394448,0.2960942707583704,0.27409243527184923,0.27091671318863964,0.28790749276086275,0.2308145650515313,38.37908759802863,-31.15956296468376,22.764852018675622,-3.0232286674862516,2.433436796784036,14.679006346428487,-10.226343245686516,-2.4813616759124337,7.905159322226754,1.8659108353985523,-6.225020889042401,6.092095831125867,5.386504819290607,48.032776317331006,53.83650216943942,54.737180385414504,31.402500829704696,37.62944121083631,31.052325153105144,24.21513677784564,23.27007452682763,19.318801708883235,22.86355177290216,19.99686410952899,"[-31.15956296468376, 22.764852018675626, -3.023228667486251, 2.433436796784036, 14.679006346428489, -10.226343245686515, -2.4813616759124337, 7.905159322226755, 1.8659108353985523, -6.225020889042401]","[48.032776317331006, 53.83650216943942, 54.73718038541451, 31.402500829704696, 37.62944121083631, 31.052325153105144, 24.21513677784564, 23.270074526827628, 19.318801708883235, 22.863551772902156]","[-31.15956296468376, 22.764852018675626, -3.023228667486251, 2.433436796784036, 14.679006346428489, -10.226343245686515, -2.4813616759124337, 7.905159322226755, 1.8659108353985523, -6.225020889042401]","[48.032776317331006, 53.83650216943942, 54.73718038541451, 31.402500829704696, 37.62944121083631, 31.052325153105144, 24.21513677784564, 23.270074526827628, 19.318801708883235, 22.863551772902156]"
1958,RnB,162.40716666666677,4.916666666666667,0.4033333333333334,-11.037583333333336,0.9166666666666666,0.5459166666666667,-14.381962669356243,5.5086542429275305,0.07818883737022257,0.06582990840509967,-21.428281265466424,6.4850362022578345,104.54266666666665,3.0,0.7841666666666666,0.4024269898165458,0.401021692112687,0.36391109310062,0.29342932166370816,0.28200117073505315,0.2972419441649328,0.28831292578881257,0.4132597794238623,0.2968692403227224,0.3020259656441083,0.2999844705043796,0.2906170745869007,0.2945925360102766,0.2840019111331214,0.28703541293689994,0.2399785278138685,0.24750290704656314,0.2578809725804481,0.2489642784744751,0.3057809171649757,0.24657850202839746,0.2559163552929952,0.2684965108568063,0.24899946028676856,42.06003526474586,-1.8479698038856933,62.75150171141057,7.536389057782714,1.8699082875922213,-1.1964006342674505,-6.09769967010124,-2.7871228376816117,16.079439992437404,1.045066843558178,-2.485954935134936,10.078563691948716,5.487488787351737,47.74789852528455,49.6958028276205,41.91996105279236,32.051628772710345,29.04765260638943,29.174087937264236,20.57027689037476,22.745710106605483,17.236008925021242,17.402384499804498,20.730717873001236,"[-1.847969803885693, 62.75150171141057, 7.536389057782715, 1.8699082875922213, -1.1964006342674505, -6.09769967010124, -2.7871228376816113, 16.079439992437404, 1.045066843558178, -2.485954935134936]","[47.74789852528455, 49.6958028276205, 41.91996105279236, 32.051628772710345, 29.047652606389434, 29.17408793726424, 20.57027689037476, 22.74571010660548, 17.236008925021245, 17.402384499804498]","[-1.847969803885693, 62.75150171141057, 7.536389057782715, 1.8699082875922213, -1.1964006342674505, -6.09769967010124, -2.7871228376816113, 16.079439992437404, 1.045066843558178, -2.485954935134936]","[47.74789852528455, 49.6958028276205, 41.91996105279236, 32.051628772710345, 29.047652606389434, 29.17408793726424, 20.57027689037476, 22.74571010660548, 17.236008925021245, 17.402384499804498]"
