year,genre,duration,key,key_confidence,loudness,mode,mode_confidence,segments_loudness_max_mean,segments_loudness_max_std,segments_loudness_max_time_mean,segments_loudness_max_time_std,segments_loudness_start_mean,segments_loudness_start_std,tempo,time_signature,time_signature_confidence,segments_pitches_mean_0,segments_pitches_mean_1,segments_pitches_mean_2,segments_pitches_mean_3,segments_pitches_mean_4,segments_pitches_mean_5,segments_pitches_mean_6,segments_pitches_mean_7,segments_pitches_mean_8,segments_pitches_mean_9,segments_pitches_mean_10,segments_pitches_mean_11,segments_pitches_std_0,segments_pitches_std_1,segments_pitches_std_2,segments_pitches_std_3,segments_pitches_std_4,segments_pitches_std_5,segments_pitches_std_6,segments_pitches_std_7,segments_pitches_std_8,segments_pitches_std_9,segments_pitches_std_10,segments_pitches_std_11,segments_timbre_mean_0,segments_timbre_mean_1,segments_timbre_mean_2,segments_timbre_mean_3,segments_timbre_mean_4,segments_timbre_mean_5,segments_timbre_mean_6,segments_timbre_mean_7,segments_timbre_mean_8,segments_timbre_mean_9,segments_timbre_mean_10,segments_timbre_mean_11,segments_timbre_std_0,segments_timbre_std_1,segments_timbre_std_2,segments_timbre_std_3,segments_timbre_std_4,segments_timbre_std_5,segments_timbre_std_6,segments_timbre_std_7,segments_timbre_std_8,segments_timbre_std_9,segments_timbre_std_10,segments_timbre_std_11,timbre_mean,timbre_std,pitch_mean,pitch_std
1928,World,191.92118,5.0,0.7319999999999999,-24.333,1.0,0.65,-25.766958146487298,2.43911643097836,0.06323396113602392,0.032550671943151296,-33.81705381165919,2.7938349120499057,104.145,1.0,0.0,0.3673437967115096,0.2385530642750372,0.2561285500747386,0.128476831091181,0.1396681614349776,0.463472346786248,0.09493572496263077,0.293439461883408,0.1720254110612854,0.21282361733931274,0.3215291479820629,0.10742600896860983,0.3575913002396867,0.2882282285935466,0.28442513534388364,0.1706307427167292,0.1612524426847747,0.3830818985727122,0.08603152545698874,0.3479470837519541,0.2263939202520093,0.22464049733877686,0.3738706775478207,0.10239274593785196,31.04544394618832,-226.4774095665173,35.389953662182386,4.704950672645738,43.46608370702543,-1.7861225710014956,-15.107298953662177,21.904738415545587,-27.47248579970108,13.479336322869965,-1.3191554559043366,-8.530541106128544,2.157393817879107,26.44167968828917,25.479290118174468,25.96229354400015,16.138896111383808,23.444072639160577,26.09452792530569,17.077242477158055,16.094193493460786,14.974065166791663,10.898686330228626,19.177373468989114,"[-226.4774095665173, 35.389953662182386, 4.704950672645738, 43.46608370702543, -1.7861225710014956, -15.107298953662175, 21.90473841554559, -27.47248579970108, 13.479336322869964, -1.3191554559043366]","[26.44167968828917, 25.479290118174465, 25.96229354400015, 16.138896111383808, 23.444072639160577, 26.094527925305687, 17.077242477158055, 16.094193493460786, 14.974065166791663, 10.898686330228626]","[-226.4774095665173, 35.389953662182386, 4.704950672645738, 43.46608370702543, -1.7861225710014956, -15.107298953662175, 21.90473841554559, -27.47248579970108, 13.479336322869964, -1.3191554559043366]","[26.44167968828917, 25.479290118174465, 25.96229354400015, 16.138896111383808, 23.444072639160577, 26.094527925305687, 17.077242477158055, 16.094193493460786, 14.974065166791663, 10.898686330228626]"
1947,World,206.81098,6.0,0.6670000000000001,-14.704,1.0,0.5529999999999999,-21.54163495575221,7.903213759717432,0.13621152654867258,0.18484981987088325,-25.7356814159292,8.454001100453487,115.69,4.0,1.0,0.41365265486725705,0.3655353982300881,0.3022654867256639,0.25569911504424786,0.2253694690265485,0.3554048672566375,0.2961106194690266,0.3021858407079645,0.21913938053097345,0.2443473451327437,0.3687057522123894,0.2838871681415928,0.33639289892728685,0.2981106228184945,0.2896655079707436,0.2640632427921522,0.23139828562455586,0.3435876661240811,0.2678033738685314,0.2747626666513395,0.2461732258425765,0.2708732374511885,0.33406929844210825,0.30093110391644456,36.21542477876101,-8.62019247787612,31.08276991150441,-18.205860619469004,-5.2491238938053115,-20.207845132743344,-5.79020796460177,-0.07463274336283024,10.359555309734509,4.8136017699114975,-2.764860619469024,9.977181415929197,7.929247238602822,82.72151885352562,48.7177625507069,36.26053959849378,36.64067129320245,16.711500739260885,31.42635912326405,18.560509545678183,25.1170369029139,15.947024448799727,16.795827983093087,17.847413677131588,"[-8.62019247787612, 31.08276991150441, -18.205860619469004, -5.249123893805312, -20.207845132743344, -5.79020796460177, -0.07463274336283024, 10.359555309734509, 4.8136017699114975, -2.7648606194690237]","[82.72151885352562, 48.7177625507069, 36.26053959849378, 36.64067129320245, 16.711500739260885, 31.426359123264046, 18.560509545678183, 25.1170369029139, 15.947024448799729, 16.795827983093087]","[-8.62019247787612, 31.08276991150441, -18.205860619469004, -5.249123893805312, -20.207845132743344, -5.79020796460177, -0.07463274336283024, 10.359555309734509, 4.8136017699114975, -2.7648606194690237]","[82.72151885352562, 48.7177625507069, 36.26053959849378, 36.64067129320245, 16.711500739260885, 31.426359123264046, 18.560509545678183, 25.1170369029139, 15.947024448799729, 16.795827983093087]"
1952,World,173.099955,10.0,0.2085,-22.152,0.5,0.2135,-26.720233552896627,6.943778261213706,0.07594611206792364,0.05822218140454185,-37.43009907038113,6.468668697314809,114.807,5.0,0.722,0.3329131012811217,0.5366234338490052,0.3707100455241317,0.17799522600918538,0.27062163604866657,0.15703678188703574,0.1655148104504071,0.17631257050197405,0.28905462895818224,0.4348828811135285,0.2459676899524617,0.26277576343566184,0.308737318924683,0.33853747026455466,0.3111399456137523,0.18082774324204112,0.2841241701893858,0.18194758753944446,0.20815733946558795,0.1986514273692058,0.2621212657772272,0.3515198132798105,0.2305346327275397,0.2992682543108091,28.07512460216743,-82.92696503605667,-68.55477475626465,-42.09591140419786,-29.757827496777054,20.16886578942068,-37.53528458121826,8.439060097897025,-9.817732470187748,6.629106286761741,-13.329942515711865,11.580852912738711,5.869443587142782,44.193191859882,44.67404899086404,52.64995192351785,41.31856286714478,38.029068043102974,24.283350103544173,26.49719135317677,31.39614521611273,23.98492105598267,24.191030085036395,16.182934384183664,"[-82.92696503605667, -68.55477475626465, -42.09591140419786, -29.757827496777058, 20.168865789420682, -37.53528458121826, 8.439060097897025, -9.817732470187748, 6.62910628676174, -13.329942515711863]","[44.193191859882, 44.67404899086404, 52.64995192351785, 41.318562867144784, 38.029068043102974, 24.283350103544166, 26.497191353176774, 31.396145216112725, 23.98492105598267, 24.191030085036402]","[-82.92696503605667, -68.55477475626465, -42.09591140419786, -29.757827496777058, 20.168865789420682, -37.53528458121826, 8.439060097897025, -9.817732470187748, 6.62910628676174, -13.329942515711863]","[44.193191859882, 44.67404899086404, 52.64995192351785, 41.318562867144784, 38.029068043102974, 24.283350103544166, 26.497191353176774, 31.396145216112725, 23.98492105598267, 24.191030085036402]"
1953,World,156.52526,5.0,0.605,-9.098,1.0,0.5429999999999999,-11.919484955752212,3.9167064412742,0.060901132743362826,0.0553100143643299,-20.596030088495574,5.018832569272132,100.516,4.0,0.7200000000000001,0.5853787610619474,0.4473061946902657,0.4276955752212387,0.28156460176991155,0.3306460176991149,0.4529256637168141,0.2207716814159295,0.2635610619469025,0.22384247787610634,0.29858407079646004,0.28207256637168154,0.32434513274336274,0.3437152581192054,0.29105536993621245,0.3146180537015231,0.2468296926101981,0.2286836637352185,0.3304154822860063,0.16315892435379656,0.2522258264143001,0.21516298403780984,0.2684271897674256,0.25495584911825103,0.21533524264294834,43.87432743362833,-76.11478407079645,37.855309734513284,11.77196637168142,-4.383653097345132,2.415051327433629,11.792619469026553,-8.128056637168138,14.818978761061947,7.4276530973451305,-3.303991150442476,-3.016621238938054,3.7424671608858966,31.130632008789163,33.81503036211545,39.14611702296743,26.58486700647992,28.5663067261828,20.343281855875308,19.934016886967107,23.592732875336466,16.002554194468928,16.289078279467248,14.520428772829176,"[-76.11478407079645, 37.855309734513284, 11.77196637168142, -4.383653097345132, 2.415051327433629, 11.792619469026553, -8.128056637168138, 14.818978761061947, 7.427653097345131, -3.303991150442476]","[31.130632008789163, 33.81503036211545, 39.14611702296743, 26.58486700647992, 28.5663067261828, 20.343281855875308, 19.934016886967107, 23.592732875336466, 16.002554194468928, 16.289078279467248]","[-76.11478407079645, 37.855309734513284, 11.77196637168142, -4.383653097345132, 2.415051327433629, 11.792619469026553, -8.128056637168138, 14.818978761061947, 7.427653097345131, -3.303991150442476]","[31.130632008789163, 33.81503036211545, 39.14611702296743, 26.58486700647992, 28.5663067261828, 20.343281855875308, 19.934016886967107, 23.592732875336466, 16.002554194468928, 16.289078279467248]"
1956,World,169.28608000000003,3.0,0.55925,-12.533249999999995,0.5,0.3780000000000001,-15.430750531104133,5.350026770236808,0.0596419332122326,0.03528552313047115,-26.17834557290999,6.830033040256144,117.22825,4.75,0.7167499999999999,0.3535561459319729,0.38348764929107415,0.3692992518109841,0.26503676154526234,0.31085644508651583,0.2881060687638469,0.3799770456532843,0.3909051627110387,0.33288492244548434,0.34070964656857616,0.2754275398174753,0.3716503599053828,0.296174218566188,0.2938263235604098,0.2943858279812825,0.2318753333115299,0.2818070156964585,0.23663303761268684,0.2973538729586277,0.31764331212996194,0.26549352263994336,0.2626088556257002,0.23894601946482266,0.3031824505281904,39.52984551650102,12.544090579541693,-7.5796234000606475,-2.9649093102442614,10.879851339237128,13.387927759417105,-9.52430635545088,-1.8413299249766328,-3.4538177531619483,-4.484931693172786,-4.342370250040826,13.133192330364285,5.328800084292847,64.95458671661224,43.15757837461418,45.31170365893854,35.758406311866764,38.288189684344985,27.62787530640027,28.55628276874353,31.038613844558462,23.811436428779913,21.325292445190325,20.55264542514449,"[12.544090579541693, -7.579623400060647, -2.9649093102442614, 10.879851339237128, 13.387927759417105, -9.524306355450879, -1.8413299249766328, -3.4538177531619483, -4.484931693172786, -4.342370250040826]","[64.95458671661224, 43.15757837461418, 45.31170365893854, 35.758406311866764, 38.288189684344985, 27.62787530640027, 28.55628276874353, 31.03861384455846, 23.81143642877991, 21.325292445190325]","[12.544090579541693, -7.579623400060647, -2.9649093102442614, 10.879851339237128, 13.387927759417105, -9.524306355450879, -1.8413299249766328, -3.4538177531619483, -4.484931693172786, -4.342370250040826]","[64.95458671661224, 43.15757837461418, 45.31170365893854, 35.758406311866764, 38.288189684344985, 27.62787530640027, 28.55628276874353, 31.03861384455846, 23.81143642877991, 21.325292445190325]"
1957,World,133.62893499999998,6.0,0.573,-11.896999999999998,1.0,0.485,-14.757121130434781,5.371848809655284,0.07838144859903383,0.04791357500823515,-24.087802734299522,6.90240435672693,122.9175,4.0,0.4925,0.33101153623188434,0.3624244057971012,0.3173983768115943,0.21123170048309184,0.29527254106280204,0.2829293236714974,0.2945167439613526,0.30453225120772953,0.2733737101449276,0.3976658743961348,0.3912816811594205,0.33539231884057963,0.257726551700976,0.29781262746107906,0.2835280508189365,0.22196938002108452,0.29329105640946995,0.2350539553927116,0.2719211124706861,0.2806173855022515,0.23759713265466145,0.3148437658416447,0.2779102489314464,0.2891952086800272,40.829245681159406,12.869777169082116,52.22503747826085,-2.3530631400966158,10.211894463768115,13.14392602898551,-16.949686057971025,2.497461536231884,-3.0946868115942032,-1.3019975458937203,-4.762898367149757,8.998233004830919,5.267249861796014,50.8741750730551,42.10186987346367,52.374017661851795,32.43969971606368,32.338410156545855,28.925568889921557,23.86750069995464,21.510559493024683,18.671469362908596,20.506622730151182,19.526526910202602,"[12.869777169082118, 52.22503747826085, -2.353063140096616, 10.211894463768113, 13.14392602898551, -16.949686057971025, 2.4974615362318837, -3.0946868115942032, -1.3019975458937205, -4.762898367149757]","[50.87417507305509, 42.10186987346367, 52.3740176618518, 32.43969971606368, 32.338410156545855, 28.925568889921554, 23.867500699954633, 21.510559493024683, 18.671469362908592, 20.506622730151182]","[12.869777169082118, 52.22503747826085, -2.353063140096616, 10.211894463768113, 13.14392602898551, -16.949686057971025, 2.4974615362318837, -3.0946868115942032, -1.3019975458937205, -4.762898367149757]","[50.87417507305509, 42.10186987346367, 52.3740176618518, 32.43969971606368, 32.338410156545855, 28.925568889921554, 23.867500699954633, 21.510559493024683, 18.671469362908592, 20.506622730151182]"
1958,World,134.5562833333333,3.0,0.4803333333333334,-17.684666666666672,1.0,0.4063333333333333,-20.74049788128568,5.121927181268042,0.07055765897320282,0.05552417832905992,-29.107235432770786,7.0014416470805925,137.71300000000002,3.0,0.43133333333333335,0.3096157953378023,0.19964404996912602,0.2013412120182852,0.3367193652758509,0.2912282489163943,0.3097511830323341,0.28543772567096554,0.34680080616943243,0.31573057278572025,0.2438626603429697,0.2964560665606915,0.2429105526321202,0.32280711629314995,0.2291566392350562,0.24028613457642736,0.3236770669773821,0.2885393561927478,0.325426834492606,0.27163111948005964,0.30965367754005324,0.3276483326960943,0.2838668904282011,0.3253338117862819,0.2617241527950174,35.36719915750213,54.40084613880745,73.0888161254202,20.20080831694311,22.923000941836285,1.346672466964104,-1.2050604783901318,4.6988285651763855,-5.388260502681995,5.9943219828485415,-3.17252024322934,11.932832126849652,5.172384941075298,90.0930714916974,39.6429223014652,49.27320740276388,35.888997385594614,33.86462332395596,42.8597514304634,28.043902654788948,36.33890949580512,24.281260911542482,21.972183135323263,37.793367871757866,"[54.400846138807445, 73.08881612542018, 20.20080831694311, 22.923000941836285, 1.346672466964104, -1.2050604783901318, 4.6988285651763855, -5.388260502681995, 5.9943219828485415, -3.1725202432293393]","[90.0930714916974, 39.6429223014652, 49.27320740276388, 35.88899738559462, 33.86462332395596, 42.8597514304634, 28.04390265478895, 36.33890949580512, 24.281260911542482, 21.97218313532326]","[54.400846138807445, 73.08881612542018, 20.20080831694311, 22.923000941836285, 1.346672466964104, -1.2050604783901318, 4.6988285651763855, -5.388260502681995, 5.9943219828485415, -3.1725202432293393]","[90.0930714916974, 39.6429223014652, 49.27320740276388, 35.88899738559462, 33.86462332395596, 42.8597514304634, 28.04390265478895, 36.33890949580512, 24.281260911542482, 21.97218313532326]"
1959,World,207.868935,2.5,0.8125,-19.4995,1.0,0.5325000000000001,-24.5650624257882,6.569340765374764,0.08904694203442141,0.0624412013385223,-31.43408667295369,7.809858373123825,81.472,2.0,0.5,0.16658789570696786,0.19446904966028666,0.2724747862057141,0.2742652688771245,0.2408252180808883,0.3014340709861329,0.23070884540369085,0.3233127719313286,0.20559849754592027,0.1970286409327646,0.19733082495659826,0.1700921490880254,0.2432140259509908,0.2426838729948455,0.24581430444628094,0.32705364965197603,0.2857918358891082,0.3624912575012081,0.2488857873914196,0.3717210992099815,0.25214842436918805,0.23096640879951655,0.2830681232038517,0.2092465299785588,31.99099450028936,-24.86886871530534,143.1402896585721,27.791525376685176,44.47747922498231,0.1784589257774849,-5.232743322545356,4.1546126711961735,21.287554658464973,6.484750975202007,-13.623463619606909,-43.238921666630944,6.6974094780431965,61.65194244454312,54.631046318353214,44.57788576908994,33.224903471145055,27.268978164860396,44.37175716526647,23.166699895049664,30.68799279179073,17.03510869158609,19.9860300224992,28.277370176230264,"[-24.868868715305336, 143.14028965857207, 27.791525376685176, 44.47747922498231, 0.1784589257774849, -5.232743322545356, 4.1546126711961735, 21.287554658464973, 6.484750975202007, -13.62346361960691]","[61.651942444543124, 54.631046318353214, 44.57788576908994, 33.22490347114506, 27.2689781648604, 44.37175716526648, 23.166699895049664, 30.68799279179073, 17.03510869158609, 19.986030022499197]","[-24.868868715305336, 143.14028965857207, 27.791525376685176, 44.47747922498231, 0.1784589257774849, -5.232743322545356, 4.1546126711961735, 21.287554658464973, 6.484750975202007, -13.62346361960691]","[61.651942444543124, 54.631046318353214, 44.57788576908994, 33.22490347114506, 27.2689781648604, 44.37175716526648, 23.166699895049664, 30.68799279179073, 17.03510869158609, 19.986030022499197]"
1960,World,179.81342499999997,3.0,0.2035,-12.216,0.5,0.4615000000000001,-14.355859210901086,4.198044423618001,0.05884011330807589,0.053860165978926566,-23.503725193160605,6.843026059766445,100.154,3.5,0.4985,0.3639765901559301,0.5077474524049567,0.3278933898159493,0.30928578500739196,0.24738445514921645,0.33145691919580084,0.3685871324975472,0.3235523443751725,0.3007144071359788,0.3588064245961598,0.4613828863551081,0.2702947603633093,0.2729050353915927,0.3260965984691313,0.2774692703284026,0.2693390925135305,0.2120778674493946,0.2854267632431053,0.28539159520234664,0.2743711928440278,0.24630447822288284,0.2852352739322697,0.3318893701605544,0.2352027795902973,41.0936368682439,-23.64221430541302,8.333109551107889,10.786618651922126,6.773829968940589,-1.0908076430111813,-24.862071725989992,-11.140665190176733,2.426542529239702,-2.965456033075784,4.525782822608719,8.494614483541227,4.888439630718699,52.08177147170005,37.69536732855454,44.1652210862594,28.434150815139972,31.359499777677822,23.20723837554256,28.43299322971489,21.3826740033508,21.41615114210568,17.63638681877978,14.448775784377704,"[-23.642214305413024, 8.333109551107887, 10.786618651922126, 6.773829968940589, -1.0908076430111813, -24.86207172598999, -11.140665190176733, 2.426542529239702, -2.965456033075784, 4.52578282260872]","[52.08177147170005, 37.69536732855454, 44.16522108625941, 28.43415081513997, 31.359499777677822, 23.207238375542556, 28.432993229714892, 21.3826740033508, 21.41615114210568, 17.63638681877978]","[-23.642214305413024, 8.333109551107887, 10.786618651922126, 6.773829968940589, -1.0908076430111813, -24.86207172598999, -11.140665190176733, 2.426542529239702, -2.965456033075784, 4.52578282260872]","[52.08177147170005, 37.69536732855454, 44.16522108625941, 28.43415081513997, 31.359499777677822, 23.207238375542556, 28.432993229714892, 21.3826740033508, 21.41615114210568, 17.63638681877978]"
1961,World,180.00933999999995,10.0,0.404,-17.732,1.0,0.457,-21.02924923547401,4.775586593230334,0.06525750764525994,0.04369242009849531,-28.62716513761468,5.047207332731608,98.432,4.0,0.0,0.2602737003058106,0.21476605504587154,0.39091743119266026,0.17779357798165146,0.11639755351681964,0.3419036697247703,0.2570519877675841,0.4239266055045872,0.17160550458715593,0.22260703363914375,0.4188440366972479,0.1938287461773701,0.3184291240532645,0.2464291004302692,0.3523111321760572,0.20868536789198547,0.1612800413477563,0.36102684621346265,0.24987199852303565,0.40540314528821547,0.16756699431683564,0.22278594657953932,0.3420220589747032,0.20599992881583315,35.240111620795105,-73.27510856269114,-23.572845565749255,-19.77842354740057,-20.470451070336406,-1.3130626911314989,-17.64853516819572,-9.223420489296636,12.036460244648323,2.6627859327217136,-0.006496941896024054,18.43133180428136,4.393573624506913,48.981753222357405,32.21575347970525,39.95757119676397,31.493869135229026,26.6551900382682,18.061906906580333,25.013148223076826,23.23072631685596,19.541671810750188,14.452206576150068,14.775767773870065,"[-73.27510856269114, -23.572845565749258, -19.77842354740057, -20.470451070336406, -1.313062691131499, -17.64853516819572, -9.223420489296636, 12.036460244648323, 2.6627859327217136, -0.006496941896024055]","[48.981753222357405, 32.21575347970525, 39.95757119676397, 31.493869135229023, 26.6551900382682, 18.061906906580333, 25.013148223076826, 23.23072631685596, 19.541671810750188, 14.45220657615007]","[-73.27510856269114, -23.572845565749258, -19.77842354740057, -20.470451070336406, -1.313062691131499, -17.64853516819572, -9.223420489296636, 12.036460244648323, 2.6627859327217136, -0.006496941896024055]","[48.981753222357405, 32.21575347970525, 39.95757119676397, 31.493869135229023, 26.6551900382682, 18.061906906580333, 25.013148223076826, 23.23072631685596, 19.541671810750188, 14.45220657615007]"
